t;x;theta
0;0;5
0.0001;0.0001;5
0.0002;0.0002;5
0.0003;0.0003;5
0.0004;0.0004;5
0.0005;0.0005;4.99999
0.0006;0.0006;4.99999
0.0007;0.0007;4.99999
0.0008;0.0008;4.99998
0.0009;0.0009;4.99998
0.001;0.001;4.99997
0.0011;0.0011;4.99997
0.0012;0.0012;4.99996
0.0013;0.0013;4.99995
0.0014;0.0014;4.99995
0.0015;0.0015;4.99994
0.0016;0.0016;4.99993
0.0017;0.0017;4.99992
0.0018;0.0018;4.99991
0.0019;0.0019;4.99991
0.002;0.002;4.9999
0.0021;0.0021;4.99988
0.0022;0.0022;4.99987
0.0023;0.0023;4.99986
0.0024;0.0024;4.99985
0.0025;0.0025;4.99984
0.0026;0.0026;4.99982
0.0027;0.0027;4.99981
0.0028;0.0028;4.9998
0.0029;0.0029;4.99978
0.003;0.003;4.99977
0.0031;0.0031;4.99975
0.0032;0.0032;4.99974
0.0033;0.0033;4.99972
0.0034;0.0034;4.9997
0.0035;0.0035;4.99969
0.0036;0.0036;4.99967
0.0037;0.0037;4.99965
0.0038;0.0038;4.99963
0.0039;0.0039;4.99961
0.004;0.004;4.99959
0.0041;0.0041;4.99957
0.0042;0.0042;4.99955
0.0043;0.0043;4.99953
0.0044;0.0044;4.99951
0.0045;0.0045;4.99948
0.0046;0.0046;4.99946
0.0047;0.0047;4.99944
0.0048;0.0048;4.99941
0.0049;0.0049;4.99939
0.005;0.005;4.99936
0.0051;0.0051;4.99934
0.0052;0.0052;4.99931
0.0053;0.0053;4.99929
0.0054;0.0054;4.99926
0.0055;0.0055;4.99923
0.0056;0.0056;4.9992
0.0057;0.0057;4.99917
0.0058;0.0058;4.99915
0.0059;0.0059;4.99912
0.006;0.006;4.99909
0.0061;0.0061;4.99906
0.0062;0.0062;4.99902
0.0063;0.0063;4.99899
0.0064;0.0064;4.99896
0.0065;0.0065;4.99893
0.0066;0.0066;4.9989
0.0067;0.0067;4.99886
0.0068;0.0068;4.99883
0.0069;0.0069;4.99879
0.007;0.007;4.99876
0.0071;0.0071;4.99872
0.0072;0.0072;4.99869
0.0073;0.0073;4.99865
0.0074;0.0074;4.99861
0.0075;0.0075;4.99858
0.0076;0.0076;4.99854
0.0077;0.0077;4.9985
0.0078;0.0078;4.99846
0.0079;0.0079;4.99842
0.008;0.008;4.99838
0.0081;0.0081;4.99834
0.0082;0.0082;4.9983
0.0083;0.0083;4.99826
0.0084;0.0084;4.99822
0.0085;0.0085;4.99817
0.0086;0.0086;4.99813
0.0087;0.0087;4.99809
0.0088;0.0088;4.99804
0.0089;0.0089;4.998
0.009;0.009;4.99796
0.0091;0.0091;4.99791
0.0092;0.0092;4.99786
0.0093;0.0093;4.99782
0.0094;0.0094;4.99777
0.0095;0.0095;4.99772
0.0096;0.0096;4.99768
0.0097;0.0097;4.99763
0.0098;0.0098;4.99758
0.0099;0.0099;4.99753
0.01;0.01;4.99748
0.0101;0.0101;4.99743
0.0102;0.0102;4.99738
0.0103;0.0103;4.99733
0.0104;0.0104;4.99727
0.0105;0.0105;4.99722
0.0106;0.0106;4.99717
0.0107;0.0107;4.99711
0.0108;0.0108;4.99706
0.0109;0.0109;4.99701
0.011;0.011;4.99695
0.0111;0.0111;4.9969
0.0112;0.0112;4.99684
0.0113;0.0113;4.99678
0.0114;0.0114;4.99673
0.0115;0.0115;4.99667
0.0116;0.0116;4.99661
0.0117;0.0117;4.99655
0.0118;0.0118;4.99649
0.0119;0.0119;4.99643
0.012;0.012;4.99638
0.0121;0.0121;4.99631
0.0122;0.0122;4.99625
0.0123;0.0123;4.99619
0.0124;0.0124;4.99613
0.0125;0.0125;4.99607
0.0126;0.0126;4.99601
0.0127;0.0127;4.99594
0.0128;0.0128;4.99588
0.0129;0.0129;4.99581
0.013;0.013;4.99575
0.0131;0.0131;4.99568
0.0132;0.0132;4.99562
0.0133;0.0133;4.99555
0.0134;0.0134;4.99548
0.0135;0.0135;4.99542
0.0136;0.0136;4.99535
0.0137;0.0137;4.99528
0.0138;0.0138;4.99521
0.0139;0.0139;4.99514
0.014;0.014;4.99507
0.0141;0.0141;4.995
0.0142;0.0142;4.99493
0.0143;0.0143;4.99486
0.0144;0.0144;4.99479
0.0145;0.0145;4.99472
0.0146;0.0146;4.99464
0.0147;0.0147;4.99457
0.0148;0.0148;4.9945
0.0149;0.0149;4.99442
0.015;0.015;4.99435
0.0151;0.0151;4.99427
0.0152;0.0152;4.99419
0.0153;0.0153;4.99412
0.0154;0.0154;4.99404
0.0155;0.0155;4.99396
0.0156;0.0156;4.99389
0.0157;0.0157;4.99381
0.0158;0.0158;4.99373
0.0159;0.0159;4.99365
0.016;0.016;4.99357
0.0161;0.0161;4.99349
0.0162;0.0162;4.99341
0.0163;0.0163;4.99333
0.0164;0.0164;4.99325
0.0165;0.0165;4.99316
0.0166;0.0166;4.99308
0.0167;0.0167;4.993
0.0168;0.0168;4.99291
0.0169;0.0169;4.99283
0.017;0.017;4.99274
0.0171;0.0171;4.99266
0.0172;0.0172;4.99257
0.0173;0.0173;4.99249
0.0174;0.0174;4.9924
0.0175;0.0175;4.99231
0.0176;0.0176;4.99222
0.0177;0.0177;4.99214
0.0178;0.0178;4.99205
0.0179;0.0179;4.99196
0.018;0.018;4.99187
0.0181;0.0181;4.99178
0.0182;0.0182;4.99169
0.0183;0.0183;4.9916
0.0184;0.0184;4.9915
